year,state_po,candidate,party,electors
1992,GA,"Perot, Ross",independent,1
1992,HI,"Clinton, Bill",democrat,2
1992,HI,"Bush, George H.W.",republican,2
1992,HI,"Perot, Ross",independent,0
1992,ID,"Bush, George H.W.",republican,2
1992,ID,"Clinton, Bill",democrat,1
1992,ID,"Perot, Ross",independent,1
1992,IL,"Clinton, Bill",democrat,11
1992,IL,"Bush, George H.W.",republican,8
1992,IL,"Perot, Ross",independent,3
1992,IN,"Bush, George H.W.",republican,5
1992,IN,"Clinton, Bill",democrat,5
1992,IN,"Perot, Ross",independent,2
1992,IA,"Clinton, Bill",democrat,3
1992,IA,"Bush, George H.W.",republican,3
1992,IA,"Perot, Ross",independent,1
1992,KS,"Bush, George H.W.",republican,2
1992,KS,"Clinton, Bill",democrat,2
1992,KS,"Perot, Ross",independent,2
1992,KY,"Clinton, Bill",democrat,4
1992,KY,"Bush, George H.W.",republican,3
1992,KY,"Perot, Ross",independent,1
1992,LA,"Clinton, Bill",democrat,4
1992,LA,"Bush, George H.W.",republican,4
1992,LA,"Perot, Ross",independent,1
1992,ME,"Clinton, Bill",democrat,2
1992,ME,"Perot, Ross",independent,1
1992,ME,"Bush, George H.W.",republican,1
1992,MD,"Clinton, Bill",democrat,5
1992,MD,"Bush, George H.W.",republican,4
1992,MD,"Perot, Ross",independent,1
1992,MA,"Clinton, Bill",democrat,6
1992,MA,"Bush, George H.W.",republican,3
1992,MA,"Perot, Ross",independent,3
1992,MI,"Clinton, Bill",democrat,8
1992,MI,"Bush, George H.W.",republican,7
1992,MI,"Perot, Ross",independent,3
1992,MN,"Clinton, Bill",democrat,5
1992,MN,"Bush, George H.W.",republican,3
1992,MN,"Perot, Ross",independent,2
1992,MS,"Bush, George H.W.",republican,4
1992,MS,"Clinton, Bill",democrat,3
1992,MO,"Clinton, Bill",democrat,5
1992,MO,"Bush, George H.W.",republican,4
1992,MO,"Perot, Ross",independent,2
1992,MT,"Clinton, Bill",democrat,1
1992,MT,"Bush, George H.W.",republican,1
1992,MT,"Perot, Ross",independent,1
1992,NE,"Bush, George H.W.",republican,3
1992,NE,"Clinton, Bill",democrat,1
1992,NE,"Perot, Ross",independent,1
1992,NV,"Clinton, Bill",democrat,2
1992,NV,"Bush, George H.W.",republican,1
1992,NV,"Perot, Ross",independent,1
1992,NH,"Clinton, Bill",democrat,2
1992,NH,"Bush, George H.W.",republican,1
1992,NH,"Perot, Ross",independent,1
